Population,State
4849377,AL
736732,AK
6731484,AZ
2966369,AR
38802500,CA
5355866,CO
3596677,CT
935614,DE
658893,DC
19893297,FL
10097343,GA
1419561,HI
1634464,ID
12880580,IL
6596855,IN
3107126,IA
2904021,KS
4413457,KY
4649676,LA
1330089,ME
5976407,MD
6745408,MA
9909877,MI
5457173,MN
2994079,MS
6063589,MO
1023579,MT
1881503,NE
2839099,NV
1326813,NH
8938175,NJ
2085572,NM
19746227,NY
9943964,NC
739482,ND
11594163,OH
3878051,OK
3970239,OR
12787209,PA
1055173,RI
4832482,SC
853175,SD
6549352,TN
26956958,TX
2942902,UT
626562,VT
8326289,VA
7061530,WA
1850326,WV
5757564,WI
584153,WY
